test_name,method,ground_truth,sonarqube,semgrep,spotbugs,zap,pmd,findbugs,findsecbugs,num_tools,num_disagree,semgrep_and_zap,spotbugs_and_zap,zap_weighted,zap_relevant
WebGoat/CrossSiteScripting/attack5a?QTY1=&QTY2=&QTY3=&QTY4=&field1=&field2=,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
CHALLENGE/5,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
CHALLENGE/solutionconstants,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
CLIENT-SIDE-FILTERING/clientsidefiltering,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
CLIENT-SIDE-FILTERING/employees,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
CROSS-SITE-SCRIPTING/stored-xss,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
CRYPTO,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
CSRF/csrf-review,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
IDOR/idor,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
IDOR/idorlogin,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
INSECURE-DESERIALIZATION/task,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
INSECURE-DESERIALIZATION/taskHolder,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
INSECURE-LOGIN/task,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
JWT/jwt,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
JWT/jwt-refresh,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
JWT/jwtfinalendpoint,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
JWT/jwtrefreshendpoint,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
JWT/jwtsecretkeyendpoint,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
JWT/jwtvotesendpoint,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
PASSWORD-RESET,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
PATH-TRAVERSAL/profileuploadbase,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SQL-INJECTION/10,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SQL-INJECTION/2,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SQL-INJECTION/3,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SQL-INJECTION/4,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SQL-INJECTION/5a,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SQL-INJECTION/5b,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SQL-INJECTION/8,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SQL-INJECTION/9,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SQL-INJECTION/assignment13,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SQL-INJECTION/quiz,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SQL-INJECTION/servers,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SQL-INJECTION/sqlinjectionchallenge,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SRC/contentview,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SRC/sessionservice,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SRC/websecurityconfig,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
SSRF/task2,GET,1,0,0,1,0,0,0,0,1,3,0,0,0,0
VULNERABLE-COMPONENTS,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WEBGOAT-LESSON-TEMPLATE/idor,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WEBGOAT-LESSON-TEMPLATE/sampleattack,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/AuthBypass.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/BypassRestrictions.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/CIA.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/CSRF.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/Challenge1.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/Challenge5.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/Challenge7.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/Challenge8.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/ChromeDevTools.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/ClientSideFiltering.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/CrossSiteScripting.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/Crypto.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/HtmlTampering.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/HttpBasics.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/HttpBasics/attack1,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/HttpProxies.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/IDOR.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/IDOR/profile/{ignore_field},GET,1,0,1,1,1,0,0,0,3,1,1,1,0,0
WebGoat/InsecureDeserialization.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/InsecureLogin.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/JWT.lesson.lesson,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
WebGoat/JWT/decode,GET,1,0,1,1,0,0,0,0,2,2,0,0,0,0
